src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_activity,target_text,target_id,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_activity,fast
Expense2,Expense2-Expense3,0.0,correct,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,image button,,,,,main activity,0.589353047311306
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,,open navigation drawer,,,,main activity,1.0
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,today budget,view,,,,,main activity,0.5283188503235579
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,current money,,,,today budget,main activity,0.5423756837844849
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,daily amount,view,,,,,main activity,0.5283188503235579
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0.0,,fab,,,,,main activity,,daily amount,,,,daily amount,main activity,0.5325044728815556
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0.0,,fab,,,,,main activity,,image button,,,,,main activity,0.589353047311306
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,amount,input amount,,,,,input activity,0.32121212035417557
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1.0,,fab,,,,,main activity,,,navigate,,,,input activity,0.576946422457695
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1.0,,fab,,,,,main activity,note optional,input note,,,,amount,input activity,0.32121212035417557
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,1.0,,fab,,,,,main activity,do,do,,,,note optional,input activity,0.34953053295612335
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,2.0,,fab,,,,,main activity,test ad,,,,,,input activity,0.576946422457695
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,detail fid dcom tech news,,,,input activity,0.576946422457695
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,tech news,,,,input activity,0.576946422457695
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,follow late tech news,,,,input activity,0.576946422457695
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.view.View,clickable,clickable,2.0,,fab,,,,,main activity,,,new application specially design forthose interested technology news,,,,input activity,0.576946422457695
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,3.0,,fab,,,,,main activity,do,do,,,,,input activity,0.34953053295612335
Expense2,Expense2-Expense3,0.0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3.0,,fab,,,,,main activity,,input note,,,,amount,input activity,0.32121212035417557
Expense2,Expense2-Expense3,1.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,,,expense activity,amount,input amount,,,,,input activity,0.42545396462082863
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,,image button,,,,,main activity,0.3389316080138087
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,,,open navigation drawer,,,,main activity,0.5908305197954178
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,today budget,view,,,,,main activity,0.4108206629753113
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,,current money,,,,today budget,main activity,0.4809637516736984
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,,expense value,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.45174722000956535
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,,expense value,,,,,expense activity,,image button,,,,,main activity,0.3389316080138087
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1.0,,expense value,,,,,expense activity,,,navigate,,,,input activity,0.5600487999618053
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,,expense value,,,,,expense activity,note optional,input note,,,,amount,input activity,0.4101527836173773
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1.0,,expense value,,,,,expense activity,do,do,,,,note optional,input activity,0.3300367947667837
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2.0,,expense value,,,,,expense activity,test ad,,,,,,input activity,0.5600487999618053
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,detail fid dcom tech news,,,,input activity,0.5600487999618053
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,tech news,,,,input activity,0.5600487999618053
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,follow late tech news,,,,input activity,0.5600487999618053
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.view.View,fillable,clickable,2.0,,expense value,,,,,expense activity,,,new application specially design forthose interested technology news,,,,input activity,0.5600487999618053
Expense2,Expense2-Expense3,1.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3.0,,expense value,,,,,expense activity,do,do,,,,,input activity,0.3300367947667837
Expense2,Expense2-Expense3,2.0,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2.0,add description,expense description,,,,,expense activity,note optional,input note,,,,amount,input activity,0.3971278096238772
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,image button,,,,,main activity,0.3721536239609122
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,,open navigation drawer,,,,main activity,0.5908305197954178
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,today budget,view,,,,,main activity,0.3560010592142741
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,,current money,,,,today budget,main activity,0.4657296724617481
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0.0,add description,expense description,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.4091755114495754
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0.0,add description,expense description,,,,,expense activity,,image button,,,,,main activity,0.3721536239609122
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1.0,add description,expense description,,,,,expense activity,amount,input amount,,,,,input activity,0.38040128722786903
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1.0,add description,expense description,,,,,expense activity,,,navigate,,,,input activity,0.5600487999618053
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1.0,add description,expense description,,,,,expense activity,do,do,,,,note optional,input activity,0.3129639190932115
Expense2,Expense2-Expense3,2.0,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2.0,add description,expense description,,,,,expense activity,test ad,,,,,,input activity,0.3495210614055395
